Orthogroup	111	GCF_017603965.1_ASM1760396v1_protein	GCF_022117535.1_ASM2211753v1_protein	GCF_900379835.1_GBBC_2088_protein	GCF_900380015.1_JVD-0051_protein	GCF_900380035.1_NCPPB_1822_protein	GCF_900380065.1_PD_2659_protein	GCF_900380085.1_PD_2662_protein	GCF_900380095.1_PD_2905_protein	GCF_900380115.1_PD_4314_protein	GCF_900380125.1_PD_3160_protein	GCF_900380135.1_PD_4932_protein	GCF_900380145.1_PD_4634_protein	GCF_900380235.1_PD_885_protein
OG0001448		WP_208588664.1	WP_208588664.1	WP_002804240.1	WP_088056620.1	WP_088056620.1	WP_088056620.1	WP_088056620.1	WP_088056620.1	WP_002804240.1	WP_002804240.1	WP_002804240.1	WP_088056620.1	WP_088056620.1
OG0001449		WP_208588666.1	WP_208588666.1	WP_002804238.1	WP_088056621.1	WP_088060957.1	WP_088056621.1	WP_088060957.1	WP_088056621.1	WP_002804238.1	WP_002804238.1	WP_002804238.1	WP_088056621.1	WP_088056621.1
OG0001450		WP_208588668.1	WP_208588668.1	WP_002805834.1	WP_002805834.1	WP_088060963.1	WP_002805834.1	WP_088060963.1	WP_002805834.1	WP_002805834.1	WP_002805834.1	WP_002805834.1	WP_002805834.1	WP_002805834.1
OG0001451		WP_208588670.1	WP_208588670.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1	WP_002805832.1
OG0001452		WP_208588673.1	WP_208588673.1	WP_002805830.1	WP_002805830.1	WP_088060964.1	WP_002805830.1	WP_088060964.1	WP_002805830.1	WP_002805830.1	WP_002805830.1	WP_002805830.1	WP_002805830.1	WP_002805830.1
OG0001453		WP_208588674.1	WP_208588674.1	WP_002805829.1	WP_002805829.1	WP_162597110.1	WP_172404505.1	WP_162597110.1	WP_002805829.1	WP_002805829.1	WP_002805829.1	WP_002805829.1	WP_172404505.1	WP_172404505.1
OG0001454		WP_208588677.1	WP_208588677.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1	WP_040762529.1
OG0001455		WP_208588680.1	WP_208588680.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1	WP_002804047.1
OG0001456		WP_208588688.1	WP_208588688.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1	WP_002804052.1
OG0001457		WP_208588691.1	WP_208588691.1	WP_002804053.1	WP_002804053.1	WP_088060966.1	WP_002804053.1	WP_088060966.1	WP_002804053.1	WP_002804053.1	WP_002804053.1	WP_002804053.1	WP_002804053.1	WP_002804053.1
OG0001458		WP_208588692.1	WP_208588692.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1	WP_002804055.1
OG0001459		WP_208588694.1	WP_208588694.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1	WP_002804059.1
OG0001460		WP_208588695.1	WP_208588695.1	WP_002804061.1	WP_159093476.1	WP_162597111.1	WP_002804061.1	WP_162597111.1	WP_002804061.1	WP_002804061.1	WP_002804061.1	WP_002804061.1	WP_002804061.1	WP_002804061.1
OG0001461		WP_208588696.1	WP_208588696.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1	WP_002804063.1
OG0001462		WP_208588697.1	WP_208588697.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1	WP_002804065.1
OG0001463		WP_208588705.1	WP_208588705.1	WP_002803050.1	WP_002803050.1	WP_167701803.1	WP_002803050.1	WP_167701803.1	WP_002803050.1	WP_002803050.1	WP_002803050.1	WP_002803050.1	WP_002803050.1	WP_002803050.1
OG0001464		WP_208588706.1	WP_208588706.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1	WP_002803054.1
OG0001465		WP_208588708.1	WP_208588708.1	WP_040762130.1	WP_234408273.1	WP_231895675.1	WP_040762130.1	WP_231895675.1	WP_234408273.1	WP_040762130.1	WP_040762130.1	WP_040762130.1	WP_040762130.1	WP_040762130.1
OG0001466		WP_208588709.1	WP_208588709.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1	WP_002803059.1
OG0001467		WP_208588710.1	WP_208588710.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1	WP_002803061.1
OG0001468		WP_208588712.1	WP_208588712.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1	WP_002803062.1
OG0001469		WP_208588718.1	WP_208588718.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1	WP_002803064.1
OG0001470		WP_208588720.1	WP_208588720.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1	WP_002803066.1
OG0001471		WP_208588721.1	WP_208588721.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1	WP_002803068.1
OG0001472		WP_208588723.1	WP_208588723.1	WP_002803074.1	WP_002803074.1	WP_088060970.1	WP_002803074.1	WP_088060970.1	WP_002803074.1	WP_002803074.1	WP_002803074.1	WP_002803074.1	WP_002803074.1	WP_002803074.1
OG0001473		WP_208588724.1	WP_208588724.1	WP_002803075.1	WP_002803075.1	WP_002803075.1	WP_172404506.1	WP_002803075.1	WP_002803075.1	WP_002803075.1	WP_002803075.1	WP_002803075.1	WP_172404506.1	WP_172404506.1
OG0001474		WP_208588725.1	WP_208588725.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1	WP_002803079.1
OG0001475		WP_208588728.1	WP_208588728.1	WP_040762131.1	WP_040762131.1	WP_088062410.1	WP_088057093.1	WP_088062410.1	WP_040762131.1	WP_040762131.1	WP_040762131.1	WP_040762131.1	WP_088057093.1	WP_088057093.1
OG0001476		WP_208588729.1	WP_208588729.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1	WP_002803083.1
OG0001477		WP_208588730.1	WP_208588730.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1	WP_002803085.1
OG0001478		WP_208588731.1	WP_208588731.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1	WP_002803088.1
OG0001479		WP_208588734.1	WP_208588734.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1	WP_002803093.1
OG0001480		WP_208588737.1	WP_208588737.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1	WP_002803098.1
OG0001481		WP_208588740.1	WP_208588740.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1	WP_002803099.1
OG0001482		WP_208588741.1	WP_208588741.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1	WP_002803100.1
OG0001483		WP_208588744.1	WP_208588744.1	WP_002803101.1	WP_002803101.1	WP_088060973.1	WP_002803101.1	WP_088060973.1	WP_002803101.1	WP_002803101.1	WP_002803101.1	WP_002803101.1	WP_002803101.1	WP_002803101.1
OG0001484		WP_208588745.1	WP_208588745.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1	WP_002803102.1
OG0001485		WP_208588747.1	WP_208588747.1	WP_002803113.1	WP_002803113.1	WP_088060976.1	WP_002803113.1	WP_088060976.1	WP_002803113.1	WP_002803113.1	WP_002803113.1	WP_002803113.1	WP_002803113.1	WP_002803113.1
OG0001486		WP_208588748.1	WP_208588748.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1	WP_002814172.1
OG0001487		WP_208588749.1	WP_208588749.1	WP_002814170.1	WP_002814170.1	WP_088061018.1	WP_002814170.1	WP_088061018.1	WP_002814170.1	WP_002814170.1	WP_002814170.1	WP_002814170.1	WP_002814170.1	WP_002814170.1
OG0001488		WP_208588750.1	WP_208588750.1	WP_002814168.1	WP_002814168.1	WP_088061019.1	WP_002814168.1	WP_088061019.1	WP_002814168.1	WP_002814168.1	WP_002814168.1	WP_002814168.1	WP_002814168.1	WP_002814168.1
OG0001489		WP_208588753.1	WP_208588753.1	WP_002814164.1	WP_002814164.1	WP_088061021.1	WP_002814164.1	WP_088061021.1	WP_002814164.1	WP_002814164.1	WP_002814164.1	WP_002814164.1	WP_002814164.1	WP_002814164.1
OG0001490		WP_208588760.1	WP_208588760.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1	WP_002814163.1
OG0001491		WP_208588761.1	WP_208588761.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1	WP_002814161.1
OG0001492		WP_208588762.1	WP_208588762.1	WP_040763019.1	WP_040763019.1	WP_088061022.1	WP_040763019.1	WP_088061022.1	WP_040763019.1	WP_040763019.1	WP_040763019.1	WP_040763019.1	WP_040763019.1	WP_040763019.1
OG0001493		WP_208588763.1	WP_208588763.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1	WP_002814157.1
OG0001494		WP_208588764.1	WP_208588764.1	WP_002814156.1	WP_088056657.1	WP_088061023.1	WP_088056657.1	WP_088061023.1	WP_088056657.1	WP_002814156.1	WP_002814156.1	WP_002814156.1	WP_088056657.1	WP_088056657.1
OG0001495		WP_208588766.1	WP_208588766.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1	WP_002814155.1
OG0001496		WP_208588768.1	WP_208588768.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1	WP_002814152.1
OG0001497		WP_208588770.1	WP_208588770.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1	WP_002814149.1
OG0001498		WP_208588772.1	WP_208588772.1	WP_002814146.1	WP_002814146.1	WP_088061025.1	WP_002814146.1	WP_088061025.1	WP_002814146.1	WP_002814146.1	WP_002814146.1	WP_002814146.1	WP_002814146.1	WP_002814146.1
OG0001499		WP_208588780.1	WP_208588780.1	WP_002814142.1	WP_002814142.1	WP_088061026.1	WP_002814142.1	WP_088061026.1	WP_002814142.1	WP_002814142.1	WP_002814142.1	WP_002814142.1	WP_002814142.1	WP_002814142.1
OG0001500		WP_208588782.1	WP_208588782.1	WP_002814140.1	WP_002814140.1	WP_002814140.1	WP_088056658.1	WP_002814140.1	WP_002814140.1	WP_002814140.1	WP_002814140.1	WP_002814140.1	WP_088056658.1	WP_088056658.1
OG0001501		WP_208588784.1	WP_208588784.1	WP_002814136.1	WP_002814136.1	WP_088061027.1	WP_002814136.1	WP_088061027.1	WP_002814136.1	WP_002814136.1	WP_002814136.1	WP_002814136.1	WP_002814136.1	WP_002814136.1
OG0001502		WP_208588785.1	WP_208588785.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1	WP_002814135.1
OG0001503		WP_208588787.1	WP_208588787.1	WP_002809527.1	WP_002809527.1	WP_088060877.1	WP_002809527.1	WP_088060877.1	WP_002809527.1	WP_002809527.1	WP_002809527.1	WP_002809527.1	WP_002809527.1	WP_002809527.1
OG0001504		WP_208588790.1	WP_208588790.1	WP_002809521.1	WP_002809521.1	WP_088060874.1	WP_002809521.1	WP_088060874.1	WP_002809521.1	WP_002809521.1	WP_002809521.1	WP_002809521.1	WP_002809521.1	WP_002809521.1
OG0001505		WP_208588793.1	WP_208588793.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1	WP_002809518.1
OG0001506		WP_208588796.1	WP_208588796.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1	WP_002809516.1
OG0001507		WP_208588797.1	WP_208588797.1	WP_002809514.1	WP_108835067.1	WP_002809514.1	WP_002809514.1	WP_002809514.1	WP_108835067.1	WP_002809514.1	WP_002809514.1	WP_002809514.1	WP_002809514.1	WP_002809514.1
OG0001508		WP_208588802.1	WP_208588802.1	WP_002809491.1	WP_108835068.1	WP_002809491.1	WP_088057050.1	WP_002809491.1	WP_108835068.1	WP_002809491.1	WP_002809491.1	WP_002809491.1	WP_088057050.1	WP_088057050.1
OG0001509		WP_208588803.1	WP_208588803.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1	WP_002809530.1
OG0001510		WP_208588805.1	WP_208588805.1	WP_002809533.1	WP_108835066.1	WP_002809533.1	WP_002809533.1	WP_002809533.1	WP_108835066.1	WP_002809533.1	WP_002809533.1	WP_002809533.1	WP_002809533.1	WP_002809533.1
OG0001511		WP_208588806.1	WP_208588806.1	WP_108776249.1	WP_108835065.1	WP_088060879.1	WP_002809538.1	WP_088060879.1	WP_108835065.1	WP_002809538.1	WP_002809538.1	WP_002809538.1	WP_002809538.1	WP_002809538.1
OG0001512		WP_208588807.1	WP_208588807.1	WP_002809541.1	WP_108835064.1	WP_002809541.1	WP_088057047.1	WP_002809541.1	WP_108835064.1	WP_002809541.1	WP_002809541.1	WP_002809541.1	WP_088057047.1	WP_088057047.1
OG0001513		WP_208588808.1	WP_208588808.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1	WP_002809543.1
OG0001514		WP_208588814.1	WP_208588814.1	WP_002809546.1	WP_088057046.1	WP_088057046.1	WP_088057046.1	WP_088057046.1	WP_088057046.1	WP_002809546.1	WP_002809546.1	WP_002809546.1	WP_088057046.1	WP_088057046.1
OG0001515		WP_208588818.1	WP_208588818.1	WP_002809550.1	WP_088057045.1	WP_088057045.1	WP_088057045.1	WP_088057045.1	WP_088057045.1	WP_002809550.1	WP_002809550.1	WP_002809550.1	WP_088057045.1	WP_088057045.1
OG0001516		WP_208588820.1	WP_208588820.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1	WP_002809551.1
OG0001517		WP_208588822.1	WP_208588822.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1	WP_002809552.1
OG0001518		WP_208588827.1	WP_208588827.1	WP_040762724.1	WP_040762724.1	WP_088060880.1	WP_040762724.1	WP_088060880.1	WP_040762724.1	WP_040762724.1	WP_040762724.1	WP_040762724.1	WP_040762724.1	WP_040762724.1
OG0001519		WP_208588829.1	WP_208588829.1	WP_040762756.1	WP_040762756.1	WP_088062370.1	WP_040762756.1	WP_088062370.1	WP_040762756.1	WP_040762756.1	WP_040762756.1	WP_040762756.1	WP_040762756.1	WP_040762756.1
OG0001520		WP_208588831.1	WP_208588831.1	WP_002809560.1	WP_002809560.1	WP_088060881.1	WP_002809560.1	WP_088060881.1	WP_002809560.1	WP_002809560.1	WP_002809560.1	WP_002809560.1	WP_002809560.1	WP_002809560.1
OG0001521		WP_208588832.1	WP_208588832.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1	WP_002809562.1
OG0001522		WP_208588835.1	WP_208588835.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1	WP_002809565.1
OG0001523		WP_208588837.1	WP_208588837.1	WP_002809568.1	WP_002809568.1	WP_088060882.1	WP_002809568.1	WP_088060882.1	WP_002809568.1	WP_002809568.1	WP_002809568.1	WP_002809568.1	WP_002809568.1	WP_002809568.1
OG0001524		WP_208588839.1	WP_208588839.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1	WP_002809572.1
OG0001525		WP_208588841.1	WP_208588841.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1	WP_134656568.1
OG0001526		WP_208588843.1	WP_208588843.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1	WP_002814133.1
OG0001527		WP_208588844.1	WP_208588844.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1	WP_002814130.1
OG0001528		WP_208588845.1	WP_208588845.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1	WP_002814128.1
OG0001529		WP_208588846.1	WP_208588846.1	WP_002814126.1	WP_002814126.1	WP_088061028.1	WP_002814126.1	WP_088061028.1	WP_002814126.1	WP_002814126.1	WP_002814126.1	WP_002814126.1	WP_002814126.1	WP_002814126.1
OG0001530		WP_208588847.1	WP_208588847.1	WP_002814123.1	WP_002814123.1	WP_088061029.1	WP_002814123.1	WP_088061029.1	WP_002814123.1	WP_002814123.1	WP_002814123.1	WP_002814123.1	WP_002814123.1	WP_002814123.1
OG0001531		WP_208588848.1	WP_208588848.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1	WP_002814120.1
OG0001532		WP_208588850.1	WP_208588850.1	WP_002814111.1	WP_108834361.1	WP_002814111.1	WP_002814111.1	WP_002814111.1	WP_108834361.1	WP_002814111.1	WP_002814111.1	WP_002814111.1	WP_002814111.1	WP_002814111.1
OG0001533		WP_208588852.1	WP_208588852.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1	WP_087946523.1
OG0001534		WP_208588853.1	WP_208588853.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1	WP_002814108.1
OG0001535		WP_208588854.1	WP_208588854.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1	WP_002814093.1
OG0001536		WP_208588855.1	WP_208588855.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1	WP_002814091.1
OG0001537		WP_208588857.1	WP_208588857.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1	WP_002814090.1
OG0001538		WP_208588859.1	WP_208588859.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1	WP_002814088.1
OG0001539		WP_208588861.1	WP_208588861.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1	WP_002814086.1
OG0001540		WP_208588870.1	WP_208588870.1	WP_002814083.1	WP_002814083.1	WP_088061030.1	WP_002814083.1	WP_088061030.1	WP_002814083.1	WP_002814083.1	WP_002814083.1	WP_002814083.1	WP_002814083.1	WP_002814083.1
OG0001541		WP_208588872.1	WP_208588872.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1	WP_002814082.1
OG0001542		WP_208588875.1	WP_208588875.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1	WP_002814081.1
OG0001543		WP_208588882.1	WP_208588882.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1	WP_002814078.1
OG0001544		WP_208588884.1	WP_208588884.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1	WP_002814076.1
OG0001545		WP_208588886.1	WP_208588886.1	WP_002814075.1	WP_002814075.1	WP_088061032.1	WP_002814075.1	WP_088061032.1	WP_002814075.1	WP_002814075.1	WP_002814075.1	WP_002814075.1	WP_002814075.1	WP_002814075.1
OG0001546		WP_208588888.1	WP_208588888.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1	WP_002814074.1
OG0001547		WP_208588892.1	WP_208588892.1	WP_002814073.1	WP_088056660.1	WP_088061033.1	WP_088056660.1	WP_088061033.1	WP_088056660.1	WP_002814073.1	WP_002814073.1	WP_002814073.1	WP_088056660.1	WP_088056660.1
OG0001548		WP_208588895.1	WP_208588895.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1	WP_002814072.1
OG0001549		WP_208588896.1	WP_208588896.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1	WP_002814071.1
OG0001550		WP_208588897.1	WP_208588897.1	WP_002814069.1	WP_088056661.1	WP_088061034.1	WP_088056661.1	WP_088061034.1	WP_088056661.1	WP_002814069.1	WP_002814069.1	WP_002814069.1	WP_088056661.1	WP_088056661.1
OG0001551		WP_208588901.1	WP_208588901.1	WP_002814062.1	WP_002814062.1	WP_002814062.1	WP_088056662.1	WP_002814062.1	WP_002814062.1	WP_002814062.1	WP_002814062.1	WP_002814062.1	WP_088056662.1	WP_088056662.1
OG0001552		WP_208588905.1	WP_208588905.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1	WP_002814061.1
OG0001553		WP_208588907.1	WP_208588907.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1	WP_002814058.1
OG0001554		WP_208588913.1	WP_208588913.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1	WP_002814056.1
OG0001555		WP_208588917.1	WP_208588917.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1	WP_002814048.1
OG0001556		WP_208588919.1	WP_208588919.1	WP_002814047.1	WP_088056666.1	WP_002814047.1	WP_088056666.1	WP_002814047.1	WP_088056666.1	WP_002814047.1	WP_002814047.1	WP_002814047.1	WP_088056666.1	WP_088056666.1
OG0001557		WP_208588921.1	WP_208588921.1	WP_002814046.1	WP_108834363.1	WP_002814046.1	WP_002814046.1	WP_002814046.1	WP_108834363.1	WP_002814046.1	WP_002814046.1	WP_002814046.1	WP_002814046.1	WP_002814046.1
OG0001558		WP_208588927.1	WP_208588927.1	WP_002814042.1	WP_088061039.1	WP_088061039.1	WP_002814042.1	WP_088061039.1	WP_088061039.1	WP_002814042.1	WP_002814042.1	WP_002814042.1	WP_002814042.1	WP_002814042.1
